Country	Population	Languages
Hungary	9897541	Hungarian:93.6 German:4.2 English:0.4 Russian:0.3
Iceland	331918	Icelandic:87 English:7
India	1251695584	Hindi:41 Bengali:8.1 Telugu:7.2 Marathi:7 Tamil:5.9 Urdu:5 Gujarati:4.5 Kannada:3.7 Malayalam:3.2 Oriya:3.2 Punjabi:2.8 Assamese:1.3 Maithili:1.2
Indonesia	255993674	Bahasa:72 Javanese:17 Sundanese:8 Madurese:3 Minangkabau:1
Iran	81824270	Farsi:59 Azerbaijani:18 Kurdish:10 Luri:7 Arabic:2 Balochi:2 Tati:2 Talysh:1
Iraq	37056169	Arabic:59 Kurdish:19 Turkmen:5 Armenian:1
Ireland	4892305	English:36.7 Irish:35.3 French:18 German:7
Isle of Man	87545	English:92
Israel	8049314	Hebrew:49 Arabic:18 Russian:15 Yiddish:2 French:2 English:2 Spanish:1.6 Roma:0.3
Italy	61855120	Italian:93 Lombard:4 Neapolitan:1.3 Piemontese:0.9 Cimbrian:0.8 
Jamaica	2950210	English:87
Japan	126919659	Japanese:99
Jersey	97294	English:94.5
Jordan	8117564	Arabic:94
Kazakhstan	18157122	Kazakh:74 Russian:19 Turkish:1
Kenya	45925301	Kiswahili:64
Kiribati	105711	I-Kiribati:84 English:11
North Korea	24983205	Korean:99
South Korea	49115196	Korean:91
Kosovo	1870981	Albanian:94.5 Bosnian:1.7 Serbian:1.6 Turkish:1.1
Kuwait	2788534	Arabic:98.5
Kyrgyzstan	5664939	Kyrgyz:71.4 Uzbek:14.4 Russian:9
Laos	6911544	Lao:71 French:3 English:2
Latvia	1986705	Latvian:56.3 Russian:33.8
Lebanon	6184701	Arabic:87 French:7 English:4 Armenian:3
Lesotho	1947701	Sesotho:74 Zulu:14
Liberia	4195666	English:20 Dan:11 Bassa:10 Bandi:2
Libya	6411776	Arabic:65 Italian:2 Berber:27
Liechtenstein	37624	German:94.5
Lithuania	2884433	Lithuanian:82 Russian:8 Polish:5.6
Luxembourg	570252	Luxembourgish:88.8 French:4.2 Portuguese:2.3 German:1.1
